English	Persian
__pycache__	__pycache__
ABC	کلاس پایه انتزاعی
abstract base class	کلاس پایه انتزاعی
accessibility	دسترسی‌پذیری
application	برنامه
action	اکشن، کنش
anchor	لنگر
annotate	حاشیه‌نویسی کردن
arena	آرنا
annotation	حاشیه‌نویسی
API	API
argument	آرگومان
ASCII	اسکی
assertion	ادعا، شرط
async	ناهمگام، غیرهمگام
asynchronous context manager	مدیر زمینه ناهمگام
asynchronous generator	تولیدگر ناهمگام
asynchronous iterable	پیمایش‌پذیر ناهمگام
asynchronous iterator	پیمایش‌گر ناهمگام
attribute	ویژگی، صفت، شاخصه
attribute reference	ارجاع به ویژگی
audit	حسابرسی
autospeccing	مشخصه‌گذاری خودکار
availability	دسترس‌پذیری
await	await
awaitable	انتظارپذیر، awaitable
backend	بک‌اند
backreference	بازارجاع
backslash	بک‌اسلش
backspace	بک‌اسپیس، پس‌بر
barrier	سد
BDFL	BDFL (دیکتاتور خیرخواه مادام‌العمر)
big-endian	بزرگ‌اندیان
binary	دودویی
binary file	پرونده دودویی
bind	مقید کردن
bitmap	بیت‌مپ
bitmask	نقاب بیتی
backport	بک‌پورت
bitwise mask	نقاب بیتی
blob	بلاب
boilerplate	کد پیش‌ساخته، متن قالبی
bom, byte-order mark	نشانگر ترتیب بایت
boolean	بولی
bootstrapping	بوت‌استرپینگ
borrowed reference	ارجاع امانتی
bot	بات
bottom tee	tee پایین
bounding box	جعبه‌ی محدودکننده
bound	کران
broadcast (network/event)	پخش
broadcasting (array)	بسط‌دهی
buffer	بافر
build	ساخت
built-in	توکار، درونی، درون‌ساخته
by-name	نام‌محور
bytecode	بایت‌کد
bytes-like object	شیء شبه‌بایت
CA	مرجع صدور گواهی
cache	نهانگاه
calendar	گاه‌شماری
callable	فراخوانی‌پذیر
callback	کال‌بک، فراخوانی بازگشتی
canonical	کانونیکال
capture pattern	الگوی ثبت‌کننده
capturing group	گروه ثبت‌کننده
cardinality	کاردینالیتی
carriage return	بازگشت به ابتدای سطر
cast	تبدیل نوع، قالب‌ریزی
certification	گواهی‌سازی
certificate	گواهی
character	نویسه
checkbutton	دکمه‌ی انتخابی
checksum	جمع‌آزما
chunked	بخش‌بندی‌شده
cipher	رمز
class	کلاس
client	کلاینت
class method	متد کلاس
class variable	متغیر کلاس
classmethod	classmethod
CLI	رابط خط فرمان، CLI
clone	رونوشت
closure	بستار
code point	نقطه‌کد
coercion	تبدیل ضمنی نوع
collation	ترتیب‌گذاری
column	ستون
combobox	جعبه انتخاب
commandline	خط فرمان
comment	کامنت
commit (database transaction)	ثبت نهایی
community	کامیونیتی
compile	کامپایل
compiled	کامپایل‌شده
component	کامپوننت، جزء
container	ظرف
context	زمینه
context management	مدیریت زمینه
context manager	مدیر زمینه
context variable	متغیر زمینه
contiguous	پیوسته
contravariant	پادوردا
converter	مبدل
converter function	تابع تبدیل‌کننده
coroutine	هم‌روال
covariant	هم‌وردا
CPU-bound	محدود به CPU
CPython	سی‌پایتون
crash	فروپاشی
CRL	فهرست لغو گواهی
cursor	مکان‌نما
cursor (database)	نشانگر
custom	سفارشی، اختصاصی
daemon	دِیمِن
dataclass	دیتاکلاس
debugging	اشکال‌زدایی، دیباگ کردن
decoding	کدگشایی
deallocater	آزادساز حافظه
decompressor	واگشا
decompression	واگشایی
decorator	دکوراتور، آراینده
deferred reference counting	شمارش ارجاعِ معوق
delegation	واگذاری
delta	دلتا
dependency	وابستگی
dependency resolution	حل وابستگی
deprecated	منسوخ، از رده خارج شده
deque	صف دوطرفه
deleter	deleter
descriptor	توصیف‌گر
deserialization	سریال‌زدایی
deserialize	سریال‌زدایی کردن
deserializer	سریال‌زدا
dialect	گویش
dictionary	دیکشنری
dictionary comprehension	درک دیکشنری
dictionary view	نمای دیکشنری
directive	دایرکتیو
directory	پوشه
disassemble	واسازی کردن
disassembler	واساز
dispatch table	جدول نگاشت
docstring	رشته مستند
DOM	DOM
double (double precision)	ممیز شناور با دقت مضاعف
drop-in	جایگزین مستقیم
duck-typing	نوع‌دهی اردکی
dump	برون‌ریزی
EAFP	EAFP (بهتر است پوزش بخواهی تا اجازه)
ecosystem	اکوسیستم
element	المان، عنصر
ellipsis	سه‌نقطه
Ellipsis	Ellipsis
encoding	کدگذاری
endian	اندیان
endianness	ترتیب بایت
endpoint	پایانه
entitlement	حق دسترسی
entity	موجودیت
enum	enum
embed	تعبیه کردن
embedded	تعبیه‌شده
embedding	تعبیه
envelope	پاکت
EOF	EOF، پایان پرونده
epoch	مبدأ زمان
escape	خنثی کردن، گریز
event	رویداد
exception	استثنا
executor	اجراکننده
export	اکسپورت
expression	عبارت
extended hex alphabet	الفبای مبنای شانزده‌ی توسعه‌یافته
extension module	ماژول توسعه‌ای
extension types	نوع‌های توسعه‌ای
f-string	اف‌استرینگ
facility	امکان، دسته گزارش
factory function	تابع کارخانه‌ای
fallback	جایگزین
frame	فریم
frame (GUI)	قاب
folder	پوشه
file	پرونده
file object	شیء پرونده
file-like object	شیء شبه‌پرونده
filesystem encoding	کدگذاری سامانه فایل‌بندی
finalizer	نهایی‌ساز
frozen	فریزشده
finder	یابنده
fixture	ثابت آزمایشی
flattening	تخت‌سازی
float (type)	اعشاری
float (value)	عدد اعشاری
floating point (adj., representation)	ممیز شناور
floating-point arithmetic	محاسبات ممیز شناور
floating-point number	عدد ممیز شناور
floor division	تقسیم کف
folding	تا کردن
fork	انشعاب، فورک
form feed	تغذیه‌ی صفحه
formatter	قالب‌بند
forward reference	ارجاع پیشرو
free threading	نخ‌بندی آزاد
free variable	متغیر آزاد
free-threaded	نخ‌آزاد
function	تابع
function annotation	حاشیه‌نویسی تابع
futures	آینده‌نماها، فیوچرز
garbage collection	زباله‌روبی
generator	تولیدگر
getatter	getatter
getter	getter
generator expression	عبارت تولیدگر
generic	عام
generic function	تابع عام، تابع عمومی
generic type	نوع عام
GIL	GIL
global interpreter lock	قفل مفسر سراسری
global	سراسری، عمومی
guard	نگهبان
handshake	دست‌دهی
handle	دسته
handler	هندلر
hash-based pyc	pyc مبتنی بر هش
hashable	هش‌پذیر
header	سرآیند
heap	هیپ
hex	مبنای شانزده
hexadecimal	مبنای شانزده
hook	قلاب
howto	راهنمای عملی
IDE	IDE, محیط توسعه یکپارچه
idempotent	هم‌توان
IDN	IDN، دامنه اینترنتی بین‌المللی
immortal	نامیرا
intern	درونی‌سازی کردن
interning	درونی‌سازی
interned	درونی‌سازی‌شده
immutable	تغییرناپذیر
import	ایمپورت
import path	مسیر ایمپورت
importing	ایمپورت کردن
index	اندیس، شماره
inode	آی‌نود
instance	نمونه
integer	عدد صحیح
interactive	تعاملی
interface	رابط
interpolation	درون‌یابی
interpreted	تفسیرشده
interpreter	مفسر
invariant	ناوردا
isolate	ایزوله کردن
IPC	ارتباط بین‌فرایندی
item	آیتم
introspection	درون‌نگری
iterable	پیمایش‌پذیر
iterate	پیمایش کردن
iteration	پیمایش
iterator	پیمایش‌گر
join	پیوستن، الحاق
junction	اتصال
key function	تابع کلید
keybinding	کلیدبندی
